"Treatment","Year","wshed","CARBac","BTYW10","GCKI10","HEWA10","OCWA10","RUHU10","WIFL10","WIWA10","MAMU10"
"Triad-I",5,"w10",1.31,-0.0812999999999997,0.1504,0.2608,-0.1843,-0.1264,-0.8946,0.2988,0.0023
"Triad-I",10,"w10",3.19,2.1259,4.102,4.5238,1.3486,0.2677,-0.4413,4.3199,0.0427
"Triad-I",15,"w10",5.5,4.3389,8.2941,8.8311,2.4152,0.7111,-0.3151,8.4324,0.0845
"Triad-I",20,"w10",7.07,5.8569,12.2896,12.7704,3.355,1.1304,-0.1621,12.1123,0.1274
"Triad-I",25,"w10",7.93,7.1766,16.305,16.6335,4.3745,1.6465,0.5015,15.6986,0.1702
"Triad-I",30,"w10",7.08,8.1122,19.978,19.8253,5.4875,2.1702,1.0536,19.1647,0.2141
"Triad-I",35,"w10",7.46,9.2353,23.733,23.0726,7.2012,2.8347,2.5966,23.0026,0.2569
"Triad-I",40,"w10",9.83,10.7508,27.2507,26.4288,9.0144,3.3213,3.264,27.6018,0.2988
"Triad-I",45,"w10",9.78,12.66,30.782,29.5678,10.6689,3.8504,3.6879,31.6774,0.3415
"Triad-I",50,"w10",12.94,14.8651,34.5168,32.9302,12.4805,4.507,5.0173,35.9138,0.385
"Triad-I",55,"w10",13.51,16.9817,38.2602,36.6476,14.6681,4.9975,5.7171,40.4129,0.4255
"Triad-I",60,"w10",16.75,19.4111,42.2239,40.7034,16.4411,5.4335,5.9427,44.6373,0.4667
"Triad-I",65,"w10",18.16,21.9714,46.2202,44.8859,17.9077,5.9107,6.0136,48.7036,0.5068
"Triad-I",70,"w10",18.16,24.2786,50.2012,48.8165,19.1933,6.5058,6.2088,52.6524,0.5474
"Triad-I",75,"w10",21.89,26.3397,53.9469,52.6565,20.4439,6.9988,6.5613,56.5911,0.5888
"Triad-I",80,"w10",25,28.0626,57.9277,56.5984,21.4811,7.4209,6.6999,60.0348,0.6311
"Triad-I",85,"w10",23.04,29.7165,61.8642,60.3968,22.3587,7.883,6.8529,63.21,0.6743
"Triad-I",90,"w10",24.32,31.324,65.6437,64.1803,23.3568,8.3562,7.5165,66.647,0.7183
"Triad-I",95,"w10",27.39,32.6958,69.5274,67.7176,24.3141,8.7275,7.8012,70.0254,0.7626
"Triad-I",100,"w10",30.71,34.0371,73.5268,71.299,25.0778,9.0355,7.871,73.0472,0.8071
"Triad-I",5,"w111",3.57,-0.585599999999999,0.2873,0.249499999999999,-0.3999,-0.0429,-0.3773,-0.185499999999999,0.0028
"Triad-I",10,"w111",6.53,1.358,4.3083,4.7466,0.5383,0.3104,-0.3244,3.2075,0.036
"Triad-I",15,"w111",9.13,2.8894,8.3056,9.0577,1.1984,0.6925,-0.3216,6.3602,0.0704
"Triad-I",20,"w111",9.92,3.7575,12.048,12.8236,1.7788,1.1199,-0.2256,9.0505,0.1056
"Triad-I",25,"w111",6.57,4.4417,15.1007,15.7899,2.6279,1.7076,0.4932,11.6869,0.1399
"Triad-I",30,"w111",6.07,5.1409,17.8296,18.2754,4.1334,2.3499,2.1729,15.0729,0.1753
"Triad-I",35,"w111",5.2,6.2107,20.7449,20.6462,6.038,2.9598,3.651,18.9345,0.212
"Triad-I",40,"w111",7.78,7.8879,23.8499,23.3862,8.1271,3.4923,5.0683,23.0088,0.25
"Triad-I",45,"w111",10.64,10.0931,27.2018,26.6963,10.113,3.9335,6.0252,27.4188,0.2886
"Triad-I",50,"w111",14.2,12.4499,30.7412,30.4779,11.8576,4.2774,6.3562,31.7861,0.3271
"Triad-I",55,"w111",13.78,14.9457,34.3095,34.6712,13.7922,4.6094,6.5086,35.8874,0.3601
"Triad-I",60,"w111",16.18,17.3529,38.0832,38.913,15.3664,5.0697,6.6055,39.7416,0.3927
"Triad-I",65,"w111",17.45,19.5386,41.9479,42.818,16.6908,5.6854,6.6433,43.4156,0.4254
"Triad-I",70,"w111",19.64,21.4012,45.5683,46.4277,17.8403,6.2702,6.6483,46.8778,0.4581
"Triad-I",75,"w111",21.71,23.0857,49.0773,49.9228,18.7941,6.7085,6.6497,50.0627,0.4915
"Triad-I",80,"w111",23.6,24.7089,52.4498,53.5454,19.5395,7.0843,6.652,53.0429,0.5257
"Triad-I",85,"w111",23.4,26.2819,55.7173,57.0338,20.1918,7.4251,6.7477,55.834,0.5606
"Triad-I",90,"w111",18.77,27.8057,58.7204,60.0559,21.1061,7.9061,7.4665,58.4919,0.5963
"Triad-I",95,"w111",17.99,29.1695,61.8371,63.1265,22.6047,8.463,9.0821,61.5309,0.6328
"Triad-I",100,"w111",15.74,30.6351,65.0193,66.1158,24.313,8.9731,10.2117,64.8508,0.6701
"Triad-I",5,"w113",0.82,-0.1561,0.1519,0.1411,0.0728,-0.0805,-0.774,0.2436,-0.000100000000000003
"Triad-I",10,"w113",-3.19,1.5673,3.3028,3.6531,1.8052,0.3089,-0.4358,3.633,0.0298
"Triad-I",15,"w113",-1.5,3.6461,6.4936,7.1828,3.3924,0.8384,0.2951,7.1411,0.0598
"Triad-I",20,"w113",-2.41,5.6379,9.4965,10.4066,4.9516,1.4262,0.7232,10.7964,0.0898
"Triad-I",25,"w113",-1.8,7.6131,12.4106,13.4038,6.5906,2.0048,1.4582,14.1787,0.12
"Triad-I",30,"w113",-1.22,9.5633,15.49,16.5268,8.2973,2.5375,2.4736,17.5978,0.151
"Triad-I",35,"w113",0.890000000000001,11.5866,18.7433,19.9551,10.0189,3.0741,3.4285,21.3422,0.1829
"Triad-I",40,"w113",4.17,13.834,21.8261,23.5667,11.4662,3.4443,3.8078,25.3083,0.2154
"Triad-I",45,"w113",7.78,16.073,25.0899,27.3453,12.569,3.7408,3.899,28.8257,0.2483
"Triad-I",50,"w113",3.64,18.0016,28.2128,30.837,13.7303,4.199,4.1887,32.0528,0.2798
"Triad-I",55,"w113",6.16,19.6467,31.3985,34.3364,15.3316,4.7656,5.5956,35.3981,0.3113
"Triad-I",60,"w113",8.06,21.2835,34.7696,37.8342,16.892,5.2472,6.2001,38.8297,0.3433
"Triad-I",65,"w113",10.37,22.9319,38.1199,41.5067,18.1709,5.6533,6.3468,41.8672,0.3755
"Triad-I",70,"w113",10.95,24.7188,41.2878,45.1614,19.0435,6.0394,6.3468,45.0512,0.407
"Triad-I",75,"w113",11.04,26.1591,44.1535,48.373,19.8456,6.427,6.4682,48.33,0.4393
"Triad-I",80,"w113",13.37,27.4132,47.3472,51.6456,20.7883,6.8141,7.1329,51.3649,0.4725
"Triad-I",85,"w113",12.75,28.4791,50.7339,54.9409,21.7285,7.1782,7.5371,54.25,0.5066
"Triad-I",90,"w113",9.08,29.5665,54.0732,58.022,22.8041,7.6808,8.2704,57.252,0.5416
"Triad-I",95,"w113",9.71,30.7578,57.0694,60.8682,24.0876,8.1951,9.2775,60.6986,0.5774
"Triad-I",100,"w113",11.56,32.1626,60.0861,63.9148,25.7981,8.6108,10.2119,64.2123,0.6113
"Triad-I",5,"w114",2.94,-0.2804,0.1514,0.183,-0.3966,-0.00270000000000004,-0.4374,-0.0223999999999993,0.0023
"Triad-I",10,"w114",5.5,1.5906,3.9969,4.4074,0.5691,0.3714,-0.3415,3.5703,0.0386
"Triad-I",15,"w114",8.28,3.1464,7.9559,8.5022,1.4205,0.8011,-0.0374000000000001,6.9758,0.0765
"Triad-I",20,"w114",8.1,4.1087,11.7696,12.1977,2.2322,1.2569,0.2022,10.1826,0.1159
"Triad-I",25,"w114",6.92,4.9698,15.2376,15.4645,3.2293,1.8068,0.9401,13.309,0.1549
"Triad-I",30,"w114",4.96,5.8682,18.2989,17.9859,4.59,2.4455,2.102,16.7861,0.1953
"Triad-I",35,"w114",6.38,7.0775,21.4997,20.7136,6.6971,3.0923,4.0554,20.8971,0.2358
"Triad-I",40,"w114",7.33,8.861,24.8104,23.6777,8.7898,3.5932,4.9692,25.2575,0.2766
"Triad-I",45,"w114",9.8,11.1824,28.2991,27.1696,10.939,4.0685,5.9135,29.6165,0.3165
"Triad-I",50,"w114",12.81,13.7829,32.057,30.9944,12.6442,4.5338,6.305,34.0875,0.3571
"Triad-I",55,"w114",13.49,16.2615,35.7274,35.1346,14.6399,4.926,6.4841,38.3719,0.3926
"Triad-I",60,"w114",16.38,18.7796,39.6299,39.3558,16.1408,5.4045,6.5615,42.3172,0.4283
"Triad-I",65,"w114",19.1,20.9609,43.6101,43.4183,17.3767,5.9385,6.5858,46.0121,0.4644
"Triad-I",70,"w114",19.54,22.8893,47.5171,47.2357,18.4099,6.5256,6.5872,49.5164,0.5008
"Triad-I",75,"w114",21.71,24.549,50.9996,50.7968,19.3203,6.9424,6.6445,52.9199,0.5381
"Triad-I",80,"w114",22.87,26.107,54.6172,54.4235,20.1549,7.3748,6.9491,55.9759,0.5763
"Triad-I",85,"w114",22.2,27.5871,58.0113,57.9518,20.9612,7.7593,7.1887,58.9834,0.6153
"Triad-I",90,"w114",20.33,29.0792,61.453,61.3207,21.9712,8.2086,7.9266,61.8719,0.6552
"Triad-I",95,"w114",15.58,30.4824,64.4654,64.2068,23.3638,8.8061,9.0885,65.0378,0.6955
"Triad-I",100,"w114",16.91,31.9281,67.7683,67.4064,25.3368,9.4163,11.0266,68.5762,0.7364
"Triad-I",5,"w115",1.07,0.2058,0.0396999999999998,0.2177,0.1451,-0.2519,-1.5215,0.659599999999999,0.0018
"Triad-I",10,"w115",1.26,2.4351,3.5883,3.9977,2.3236,0.1252,-0.8772,4.9055,0.0434
"Triad-I",15,"w115",2.09,5.1609,7.4347,8.1167,3.87,0.5487,-0.6972,9.1968,0.0854
"Triad-I",20,"w115",3.6,7.4756,11.0707,12.1002,5.2211,1.0148,-0.5667,13.4131,0.1268
"Triad-I",25,"w115",6.68,9.4448,14.8982,15.977,6.4757,1.5067,-0.1556,17.3585,0.1688
"Triad-I",30,"w115",9.83,10.8552,19.043,19.9256,7.574,1.9091,0.0441000000000003,20.8773,0.2112
"Triad-I",35,"w115",8.86,12.2341,23.2068,23.7341,8.7057,2.4631,0.2967,24.445,0.2523
"Triad-I",40,"w115",12.52,13.6775,26.7334,27.2608,9.7731,2.9553,0.7013,28.4972,0.294
"Triad-I",45,"w115",15.49,15.1725,30.3492,30.5672,10.74,3.3862,0.8626,32.1245,0.3364
"Triad-I",50,"w115",11.76,16.7053,33.62,33.7325,12.0658,3.8752,1.1988,35.3233,0.3759
"Triad-I",55,"w115",14.32,18.3587,37.1692,37.1256,13.7806,4.4593,2.6536,38.7296,0.4157
"Triad-I",60,"w115",16.53,20.2399,41.0055,40.4973,15.4743,4.9752,3.275,42.5069,0.456
"Triad-I",65,"w115",11.67,22.3142,44.3871,43.7547,17.0581,5.5185,3.6739,46.043,0.4967
"Triad-I",70,"w115",12.23,24.6049,47.7618,47.1548,18.8365,6.1393,5.092,49.8002,0.5374
"Triad-I",75,"w115",14.16,26.7096,51.1616,50.8247,20.6624,6.6518,5.998,54.1434,0.5786
"Triad-I",80,"w115",17.73,28.9267,54.8433,54.7931,22.16,7.0027,6.2796,58.2626,0.6206
"Triad-I",85,"w115",20.49,31.1688,58.7756,58.8649,23.2081,7.3707,6.3885,61.9827,0.6634
"Triad-I",90,"w115",21.2,32.8657,62.8378,62.9447,24.185,7.8439,6.7957,65.6792,0.707
"Triad-I",95,"w115",23.76,34.1674,66.6895,66.8532,25.0531,8.24,6.9704,69.4114,0.7507
"Triad-I",100,"w115",27.7,35.2352,70.72,70.5691,25.7495,8.5703,7.0132,72.674,0.7953
"Triad-I",5,"w65",3.16,-0.8474,0.0673999999999992,-0.2539,-0.2011,0.047,0.0053,-0.5514,0.0019
"Triad-I",10,"w65",-0.43,-0.2718,3.5178,2.8999,0.3721,0.6578,0.3164,2.0184,0.0384
"Triad-I",15,"w65",2.52,0.2556,6.2968,5.5129,1.6176,1.2877,1.8817,5.5466,0.076
"Triad-I",20,"w65",5.08000000000001,1.0643,9.2926,8.1028,2.9951,1.7116,2.6421,9.2344,0.1142
"Triad-I",25,"w65",6.55,2.4,12.5089,11.3954,4.4342,1.9762,2.8808,12.5353,0.15
"Triad-I",30,"w65",0.0700000000000003,4.1773,15.4814,14.0583,5.7028,2.5176,3.348,15.9201,0.1865
"Triad-I",35,"w65",2.78,5.8967,18.618,16.8993,7.843,3.2635,5.6573,19.7954,0.2235
"Triad-I",40,"w65",0.710000000000001,7.9354,21.7316,20.205,10.5857,3.7758,6.7131,24.2124,0.2556
"Triad-I",45,"w65",5.71,10.5798,25.1393,24.091,12.7865,4.1521,7.0243,28.2538,0.288
"Triad-I",50,"w65",6.3,13.7352,28.8161,28.1385,14.3776,4.7099,7.0614,32.3139,0.3197
"Triad-I",55,"w65",10.5,16.3835,32.1766,32.0619,15.7335,5.2175,7.0751,36.4359,0.3516
"Triad-I",60,"w65",14.85,18.6968,35.6882,35.9192,16.8411,5.5897,7.0797,39.9128,0.3842
"Triad-I",65,"w65",18.85,20.4144,39.4145,40.0955,17.6564,5.9321,7.0797,42.7074,0.4176
"Triad-I",70,"w65",15.92,21.8911,43.3621,44.1591,18.2408,6.3521,7.085,45.4713,0.4518
"Triad-I",75,"w65",11.78,23.2759,46.2871,47.2297,18.9454,6.8606,7.3961,48.5634,0.4867
"Triad-I",80,"w65",14.63,24.3992,49.2371,50.1427,20.2536,7.4249,8.9614,51.554,0.5224
"Triad-I",85,"w65",16.45,25.619,52.3459,53.4933,21.6365,7.8168,9.7218,54.6003,0.558
"Triad-I",90,"w65",17.48,27.2075,55.7549,57.1893,22.7946,8.0902,9.9257,57.6955,0.5945
"Triad-I",95,"w65",7.74,28.8107,58.7853,60.0762,23.831,8.6028,10.3582,60.5938,0.6317
"Triad-I",100,"w65",8.49,30.2504,61.7388,63.1655,25.7378,9.3032,12.6538,64.136,0.6681
"Triad-I",5,"w68",3.76000000000001,-0.4286,0.3247,0.3163,-0.4996,-0.0347000000000001,-0.4231,-0.132900000000001,0.0033
"Triad-I",10,"w68",5.96,1.6286,4.4694,4.8476,0.476,0.3528,-0.3736,3.5271,0.0312
"Triad-I",15,"w68",9.42,3.2437,8.4781,9.2135,1.1933,0.7122,-0.3736,6.9125,0.0618
"Triad-I",20,"w68",11.47,4.1208,12.5206,13.2787,1.7525,1.1021,-0.3656,9.7321,0.0949
"Triad-I",25,"w68",10.36,4.7909,16.0104,16.7746,2.3056,1.617,-0.2011,12.6948,0.1283
"Triad-I",30,"w68",4.84,5.3345,18.7244,18.8043,3.4101,2.3073,0.9819,15.6641,0.1639
"Triad-I",35,"w68",6.61000000000001,6.1679,21.7702,21.0181,5.7189,3.1369,4.0216,19.5533,0.2012
"Triad-I",40,"w68",9.06,7.6472,25.0295,23.7942,8.1309,3.6417,5.283,24.3003,0.2401
"Triad-I",45,"w68",11.78,10.0221,28.4572,27.1963,10.201,3.996,5.7243,28.7138,0.2795
"Triad-I",50,"w68",15.27,12.8871,32.1366,31.1178,11.8893,4.4024,6.1965,33.2016,0.3187
"Triad-I",55,"w68",14.28,15.4787,35.7349,35.3501,14.0112,4.7923,6.4859,37.7344,0.3527
"Triad-I",60,"w68",18.66,18.0341,39.6167,39.6444,15.7181,5.2645,6.6171,41.7744,0.3874
"Triad-I",65,"w68",21.62,20.2724,43.8135,43.7992,17.0678,5.8483,6.6445,45.3294,0.4229
"Triad-I",70,"w68",20.27,22.2089,47.87,47.6294,18.1898,6.5299,6.6445,48.9255,0.4587
"Triad-I",75,"w68",24.37,23.9629,51.2532,51.163,19.1535,6.9667,6.6445,52.7057,0.4953
"Triad-I",80,"w68",28.24,25.6293,54.7154,54.737,19.8903,7.3215,6.6445,55.8142,0.5327
"Triad-I",85,"w68",29.87,27.2104,58.296,58.5978,20.4708,7.6185,6.6525,58.5126,0.5709
"Triad-I",90,"w68",25.78,28.6607,61.8708,62.2462,21.0535,7.9729,6.817,61.1997,0.6099
"Triad-I",95,"w68",14.12,29.8135,64.7232,64.7147,22.1941,8.6484,8,64.0052,0.6497
"Triad-I",100,"w68",15.53,31.0169,67.8488,67.4805,24.4969,9.4434,11.0397,67.4035,0.6902
"Triad-I",5,"w82",0.18,-0.1475,-0.0399999999999991,-0.2611,-0.2848,0.0277000000000001,-0.2829,-0.0251999999999999,9e-04
"Triad-I",10,"w82",-6.85,1.106,1.3078,1.8845,0.927,0.4418,0.5442,1.6194,0.0062
"Triad-I",15,"w82",-5.41,2.3169,2.8046,4.1892,2.8625,0.9918,2.8195,3.5879,0.0122
"Triad-I",20,"w82",-6.54,3.7719,4.2288,6.7849,4.8062,1.3757,3.7709,6.1946,0.0168
"Triad-I",25,"w82",-3.23,5.6974,5.8189,9.562,6.3117,1.662,4.0281,8.9152,0.0222
"Triad-I",30,"w82",-0.890000000000001,7.7829,7.5554,12.3019,7.2977,1.9062,4.1433,11.5069,0.0285
"Triad-I",35,"w82",2.46,9.3691,9.5905,15.2502,8.2992,2.201,4.6872,13.9903,0.0357
"Triad-I",40,"w82",4.89,10.6507,11.6777,18.2801,9.2213,2.4109,4.9331,16.2537,0.043
"Triad-I",45,"w82",6.67,11.6628,13.9333,21.2659,9.9441,2.6435,5.1022,17.9664,0.0512
"Triad-I",50,"w82",-1.84,12.8113,15.7895,24.031,11.3364,3.053,5.6895,20.0073,0.0533
"Triad-I",55,"w82",0.789999999999999,14.1741,17.2109,26.5564,12.7523,3.4564,6.3656,22.5339,0.0556
"Triad-I",60,"w82",3.72,15.8766,18.8347,28.9416,14.0393,3.8265,6.6143,24.6584,0.0581
"Triad-I",65,"w82",6.45,17.5595,20.6608,31.7115,15.0718,4.1342,6.6577,26.1468,0.0608
"Triad-I",70,"w82",3.69,19.1838,22.5413,34.5537,15.907,4.3811,6.726,27.6805,0.0637
"Triad-I",75,"w82",-3.85,20.6424,23.7092,36.5856,16.9522,4.8508,7.4819,29.4342,0.0674
"Triad-I",80,"w82",-2.41,22.1265,25.0566,38.7923,18.7551,5.3789,9.7322,31.6129,0.0719
"Triad-I",85,"w82",-1.6,23.9377,26.6228,41.4073,20.5442,5.6942,10.6751,34.2361,0.0772
"Triad-I",90,"w82",0.819999999999997,26.0325,28.3332,44.4808,21.9116,5.8846,10.9323,36.7606,0.0833
"Triad-I",95,"w82",1.63,28.1405,30.2016,47.5576,22.7505,6.1173,11.0475,38.9958,0.0902
"Triad-I",100,"w82",4.8,29.7775,32.1633,50.7243,23.6644,6.3722,11.5914,41.1178,0.0977
"Triad-I",5,"w97",3.05,-0.4592,0.0913000000000004,-0.1244,-0.2135,0.0796,-0.1327,-0.0983999999999998,0.0034
"Triad-I",10,"w97",-1.8,0.8555,3.6087,3.4164,1.1157,0.5508,0.2914,3.3144,0.0438
"Triad-I",15,"w97",-0.909999999999997,2.2245,7.1375,6.9299,2.8477,1.1421,1.5582,6.96,0.0826
"Triad-I",20,"w97",-1.97,3.8329,10.7144,10.1498,4.5563,1.7883,2.1823,11.0463,0.1221
"Triad-I",25,"w97",0.68,5.7515,14.1222,13.2122,6.2737,2.4111,2.8727,15.0308,0.1622
"Triad-I",30,"w97",1.92,7.8967,17.5618,16.3459,7.9668,2.9789,3.7138,19.0311,0.203
"Triad-I",35,"w97",5.6,10.0171,21.1371,19.8985,9.7198,3.4771,4.6262,23.1254,0.2447
"Triad-I",40,"w97",4.7,12.3318,24.6371,23.6016,11.4857,3.9074,5.1155,27.1288,0.2847
"Triad-I",45,"w97",6.34,14.8032,28.2603,27.5579,13.3129,4.3968,5.9753,31.0879,0.3237
"Triad-I",50,"w97",7.28,17.248,31.9975,31.4981,14.9456,4.9621,6.5277,35.312,0.3632
"Triad-I",55,"w97",11.61,19.4225,35.7213,35.4439,16.3771,5.4515,6.8036,39.3498,0.4031
"Triad-I",60,"w97",15.02,21.5042,39.6719,39.4426,17.4691,5.8689,6.8715,42.9292,0.4436
"Triad-I",65,"w97",18.01,23.1477,43.6508,43.5786,18.3196,6.2433,6.883,46.1251,0.4849
"Triad-I",70,"w97",17.23,24.531,47.4481,47.5677,18.9976,6.6459,6.9092,49.2529,0.5258
"Triad-I",75,"w97",14.9,25.6822,50.7276,50.8246,19.7583,7.1254,7.2612,52.4386,0.567
"Triad-I",80,"w97",15.9,26.7176,54.2277,54.0174,20.9297,7.6749,8.4614,55.8068,0.6091
"Triad-I",85,"w97",15.44,27.7761,57.7634,57.2083,22.1664,8.1265,9.0512,59.4357,0.6521
"Triad-I",90,"w97",15.83,29.1346,61.3547,60.4237,23.4513,8.5744,9.7355,62.9509,0.6959
"Triad-I",95,"w97",19.14,30.6695,65.1532,63.8295,24.7041,8.9997,10.4592,66.5008,0.7406
"Triad-I",100,"w97",21.17,32.0837,69.0171,67.414,25.8424,9.3479,10.7327,70.0691,0.7854
"Triad-I",5,"w99",-0.760000000000005,-0.2482,-0.3126,-0.3415,0.274,0.0829,0.0773,-0.2739,-0.004
"Triad-I",10,"w99",-3.44,0.9379,2.9486,2.6928,1.7005,0.7312,1.0795,3.0944,0.0355
"Triad-I",15,"w99",-1.69,2.3775,6.0226,5.5564,3.6199,1.3875,2.4337,7.0882,0.0741
"Triad-I",20,"w99",-0.740000000000002,4.2125,9.23,8.4689,5.4808,1.947,3.0399,11.009,0.1131
"Triad-I",25,"w99",3.51,6.4385,12.6727,11.8952,7.1509,2.3937,3.618,14.7606,0.1526
"Triad-I",30,"w99",4.45,8.7753,16.2524,15.6119,8.632,2.8129,3.8817,18.5988,0.1897
"Triad-I",35,"w99",2.02,10.9944,19.5613,19.074,10.0994,3.2996,4.4138,22.2622,0.2272
"Triad-I",40,"w99",2.69,13.2432,22.9541,22.679,12.0347,3.89,5.8012,26.0314,0.2633
"Triad-I",45,"w99",4.52,15.3893,26.5123,26.4655,13.9058,4.4294,6.5964,30.0799,0.2999
"Triad-I",50,"w99",7.21,17.6822,30.1607,30.3574,15.4216,4.9006,6.8287,34.0315,0.3371
"Triad-I",55,"w99",11.84,19.9844,33.7732,34.3068,16.5052,5.3083,6.8523,37.7964,0.3749
"Triad-I",60,"w99",15.23,21.8076,37.5193,38.292,17.3594,5.6595,6.856,41.0468,0.4134
"Triad-I",65,"w99",17.11,23.2858,41.1713,42.3781,18.0681,5.9946,6.8788,44.0104,0.4513
"Triad-I",70,"w99",15.27,24.3599,44.7117,45.9772,18.7159,6.3964,7.0298,46.8655,0.4898
"Triad-I",75,"w99",10.9,25.3018,48.0603,48.9881,19.702,7.0033,7.9751,49.9127,0.5288
"Triad-I",80,"w99",12.71,26.2811,51.3202,51.9634,21.1325,7.5686,9.2903,53.6093,0.5687
"Triad-I",85,"w99",13.52,27.4946,54.6175,54.9378,22.5547,7.9903,9.8811,57.2422,0.6095
"Triad-I",90,"w99",16.73,29.1251,58.0972,58.3909,23.8458,8.3646,10.4554,60.6748,0.6507
"Triad-I",95,"w99",14.16,30.8623,61.6061,62.0812,25.2601,8.709,10.7437,64.2469,0.6891
"Triad-I",100,"w99",10.98,32.6323,64.9325,65.4873,26.7475,9.1839,11.2483,67.843,0.7264
"Triad-E",5,"w100",3.95,-0.6877,0.1579,-0.0305,-0.144,-0.00859999999999994,-0.0519,-0.4534,0.00399999999999999
"Triad-E",10,"w100",1.03,0.4823,4.8183,4.4083,0.8259,0.5057,0.0073,3.1815,0.0555
